playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
sa3008224,Nolan Kingham,999.0,ATL,Braves,0.1449,0.3189,0.0,0.0,,1.0,4.423,1.1564,0.6077,0.56567,0.155667,0.6364,0.3105,0.0432
21183,Humberto Castellanos,999.0,ARI,Diamondbacks,0.1635,0.2315,0.0,0.0,,1.0,4.393,1.0937,0.6049,0.56835,0.165556,0.7382,0.3256,0.0533
sa872881,Domingo Robles,999.0,OAK,Athletics,0.1725,0.1895,0.0,0.0,,1.0,4.384,1.0795,0.5663,0.52538,0.143778,0.6264,0.3532,0.0465
sa3014446,Cole Henry,999.0,WSN,Nationals,0.1628,0.2348,0.0,0.0,,1.0,4.397,1.0239,0.5863,0.54956,0.160778,0.8285,0.4079,0.0537
10968,Tim Adleman,999.0,,,0.1489,0.2999,0.0,0.0,,1.0,4.379,1.0654,0.5799,0.54335,0.173444,0.7716,0.3215,0.0477
6345,Chris Archer,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.419,1.0462,0.5958,0.55871,0.164889,0.8379,0.4094,0.0413
sa3010787,Evan McKendry,999.0,MIL,Brewers,0.1679,0.2109,0.0,0.0,,1.0,4.339,1.0712,0.5819,0.54513,0.179,0.7499,0.2807,0.0503
sa597825,Bryan Brickhouse,999.0,,,0.1665,0.2175,0.0,0.0,,1.0,4.415,1.081,0.5914,0.55094,0.153,0.7185,0.3765,0.0463
13684,John Gant,999.0,,,0.1432,0.3272,0.0,0.0,,1.0,4.469,1.0472,0.5917,0.55061,0.138889,0.776,0.4766,0.0459
sa3017140,Tyson Guerrero,999.0,KCR,Royals,0.1737,0.1837,0.0,0.0,,1.0,4.44,1.0623,0.5923,0.5549,0.151333,0.7677,0.4131,0.0511
sa3007965,Caleb Sampen,999.0,,,0.1461,0.3131,0.0,0.0,,1.0,4.42,1.126,0.5988,0.55674,0.149556,0.6444,0.3423,0.0479
sa3020076,Jack Perkins,999.0,OAK,Athletics,0.1719,0.1919,0.0,0.0,,1.0,4.431,1.0669,0.5826,0.54012,0.135222,0.6719,0.424,0.048
sa3015005,Brandon Knarr,999.0,MIL,Brewers,0.1547,0.2727,0.0,0.0,,1.0,4.401,1.0328,0.5678,0.52936,0.159556,0.7838,0.402,0.0398
sa3011835,Trevor McDonald,999.0,SFG,Giants,0.1721,0.1911,0.0,0.0,,1.0,4.528,1.1078,0.6049,0.55895,0.120889,0.6635,0.473,0.0563
11682,Carlos Martinez,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.437,1.1062,0.6028,0.56165,0.150333,0.6994,0.3702,0.0559
sa3017913,Landon Marceaux,999.0,NYM,Mets,0.1754,0.1754,0.0,0.0,,1.0,4.409,1.1248,0.5924,0.55039,0.156444,0.6438,0.3215,0.0414
sa3017462,Matt Osterberg,999.0,PHI,Phillies,0.1754,0.1754,0.0,0.0,,1.0,4.378,1.1129,0.5777,0.53568,0.152667,0.623,0.3272,0.0396
20430,Rony García,999.0,,,0.1272,0.4022,0.0,0.0,,1.0,4.412,1.0162,0.5917,0.55752,0.173667,0.8935,0.3985,0.0579
sa3011201,Tyler Owens,999.0,ATL,Braves,0.1437,0.3247,0.0,0.0,,1.0,4.459,1.0976,0.6075,0.56687,0.154111,0.7493,0.3967,0.049
sa3011129,Grant Gambrell,999.0,BOS,Red Sox,0.1754,0.1754,0.0,0.0,,1.0,4.439,1.1056,0.6214,0.58199,0.158667,0.7458,0.38,0.0444
sa3017550,Alex Pham,999.0,BAL,Orioles,0.163,0.234,0.0,0.0,,1.0,4.414,1.0336,0.5824,0.5437,0.159889,0.8001,0.4181,0.0373
sa3017763,Julian Aguiar,999.0,CIN,Reds,0.1754,0.1754,0.0,0.0,,1.0,4.386,1.0766,0.5933,0.55287,0.165667,0.7703,0.3596,0.0512
sa943755,Kenny Hernandez,999.0,,,0.173,0.187,0.0,0.0,,1.0,4.461,1.1208,0.5859,0.5412,0.131778,0.6097,0.4088,0.0424
4153,Jake Arrieta,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.425,1.1174,0.6087,0.56755,0.157667,0.7031,0.3563,0.0454
sa3020180,Ike Buxton,999.0,MIA,Marlins,0.1565,0.2645,0.0,0.0,,1.0,4.501,1.0742,0.6015,0.55776,0.130111,0.7231,0.4889,0.0471
4257,David Huff,999.0,,,0.1579,0.2579,0.0,0.0,,1.0,4.336,1.0735,0.5682,0.53327,0.181444,0.7201,0.2723,0.0397
sa3010110,Kaleb Roper,999.0,,,0.1304,0.3874,0.0,0.0,,1.0,4.438,1.0621,0.5945,0.55492,0.153,0.7613,0.4228,0.0407
sa737377,Ronald Medrano,999.0,,,0.1577,0.2587,0.0,0.0,,1.0,4.395,1.0669,0.5956,0.55874,0.169222,0.7721,0.3506,0.0508
sa3017313,Logan Workman,999.0,TBR,Rays,0.1744,0.1804,0.0,0.0,,1.0,4.376,1.0586,0.5918,0.55504,0.172,0.7648,0.3411,0.0444
