playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
17594,Mitch Keller,168.67999267578125,PIT,Pirates,30.015,30.015,0.0,0.0,,180.762,770.301,175.46,90.9393,83.6641,21.1254,174.19,60.3291,10.3019
16511,Jordan Montgomery,146.02999877929688,,,28.15,28.15,0.0,0.0129328,,167.542,698.0,161.642,77.6491,71.4371,20.561,152.3,45.0935,5.39127
19427,Shane Bieber,175.77999877929688,CLE,Guardians,26.9625,26.9625,0.0,0.0,,169.401,698.137,160.185,77.32,71.1344,20.6898,160.227,43.1596,5.06543
13543,Blake Snell,64.86000061035156,,,27.5704,28.4972,0.0,0.221398,,151.383,635.278,119.007,63.4013,58.3292,16.7221,192.152,73.27,3.98897
27483,Bobby Miller,999.0,LAD,Dodgers,26.5845,26.5845,0.0,0.0,,153.098,628.206,134.711,70.6484,64.9965,17.9642,150.524,42.2446,7.26466
18525,Dylan Cease,107.13999938964844,CHW,White Sox,30.2964,30.2964,0.0,0.0,,173.585,736.507,151.72,84.4113,77.6584,22.6643,201.091,73.9275,7.46165
21846,Cole Ragans,108.88999938964844,KCR,Royals,27.349,27.349,0.0,0.0145635,,159.328,671.342,139.06,74.7197,68.7422,17.6975,171.182,64.909,4.89705
30134,Tanner Bibee,107.69999694824219,CLE,Guardians,27.9188,27.9188,0.0,0.0,,164.379,682.72,149.218,74.2669,68.3256,21.1491,168.106,49.4488,6.36689
24492,Grayson Rodriguez,999.0,BAL,Orioles,27.4663,27.4663,0.0,0.0,,154.27,636.096,133.027,69.3631,63.8141,18.247,166.291,50.3814,5.30331
12970,Joe Musgrove,99.48999786376953,SDP,Padres,25.8526,25.8526,0.0,0.0,,156.756,646.775,141.724,68.0574,62.6128,19.5717,156.132,39.2621,11.1971
