ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*03xy4*,Albert Abreu,RP,W (Thu),26,-,17485
*04tlv*,Bryan Abreu,RP,W (Fri),24,-,16609
*02484*,Aaron Altherr,OF,FA,30,-,11270
*02b2j*,Mark Appel,SP,FA,30,-,sa501726
*03nrm*,Jonathan Arauz,SS,W (Mon),23,-,20275
*02hma*,Tyler Austin,"1B,OF",FA,30,-,11850
*04akb*,Michel Baez,RP,FA,25,-,20100
*041sn*,Tres Barrera,C,W (Mon),27,-,19977
*01dom*,Antonio Bastardo,RP,FA,36,-,8844
*03djb*,Jalen Beeks,RP,FA,28,-,17192
*02hdd*,Chad Bell,RP,FA,32,-,10297
*02nbr*,Anthony Bemboom,C,W (Sun),31,-,13854
*01sci*,Christian Bethancourt,C,W (Mon),30,-,10028
*02mwd*,Paul Blackburn,SP,FA,28,-,14739
*025l1*,Jabari Blash,OF,FA,32,-,11247
*02n6w*,Ryan Borucki,RP,W (Mon),27,-,16350
*0009s*,Michael Bourn,OF,FA,39,-,6387
*025e9*,Rob Brantly,C,W (Tue),32,-,10655
*01saq*,Zack Britton,RP,FA,34,-,3240
*00035*,Jared Burton,RP,FA,40,-,8346
*03vum*,Gilberto Celestino,OF,W (Mon),22,-,20233
*04alp*,Ernie Clement,2B,W (Mon),25,-,20352
*013u9*,Phil Coke,RP,FA,39,-,5535
*01ubn*,Zack Cox,3B,FA,32,-,sa455436
*031gu*,Stefan Crichton,RP,W (Mon),29,-,16058
*013vo*,Luis Cruz,3B,FA,37,-,3188
*03qzb*,Jaylin Davis,OF,W (Mon),27,-,19552
*01cxc*,Fautino De Los Santos,RP,FA,35,-,5841
*01s92*,Daniel Descalso,2B,FA,35,-,8392
*01c1i*,Jason Donald,SS,FA,37,-,9331
*041qq*,Jon Duplantier,SP,W (Tue),27,-,19546
*02zl7*,Roenis Elias,RP,FA,33,-,12673
*04eet*,Drew Ellis,3B,W (Mon),26,-,19873
*03g4b*,Anderson Espinoza,SP,W (Mon),23,-,sa872856
*03d6m*,Brandon Finnegan,SP,W (Tue),28,-,16208
*026m5*,Derek Fisher,OF,W (Sun),28,-,16192
*01glp*,Logan Forsythe,3B,FA,34,-,7185
*0422q*,Matt Foster,RP,FA,26,-,19647
*0375q*,Dustin Fowler,OF,FA,27,-,17098
*03pzm*,Lucius Fox,SS,W (Mon),24,-,sa914200
*02hnu*,David Freitas,C,W (Sun),32,-,10619
*02hgc*,Dustin Garneau,C,FA,34,-,9433
*03bnk*,Erik Gonzalez,3B,W (Mon),30,-,13369
*03aqt*,Victor Gonzalez,RP,W (Mon),26,-,16408
*0316r*,Trevor Gott,RP,W (Mon),29,-,15046
*024p6*,Justin Grimm,RP,W (Sun),33,-,11720
*032uh*,Alex Guerrero,OF,FA,35,-,15670
*031nm*,Jandel Gustave,RP,FA,29,-,14665
*0310c*,Hunter Harvey,RP,FA,27,-,15507
*031gh*,Ben Heller,RP,FA,30,-,15100
*03mgq*,Jonathan Hernandez,RP,FA,25,-,17464
*01sg4*,Steven Hill,C,FA,36,-,8211
*03pjg*,Kyle Holder,SS,W (Tue),27,-,sa857840
*03dsa*,Jordan Holloway,RP,W (Mon),25,-,20631
*03to7*,Jae-gyun Hwang,3B,FA,34,-,19369
*01olv*,Ryota Igarashi,RP,FA,42,-,10232
*01sb6*,Brett Jackson,OF,FA,33,-,9632
*01s97*,Jay Jackson,RP,W (Thu),34,-,7432
*02ymd*,Josh Johnson,SS,FA,36,-,4567
